cycle,nelem,ndof,J,graph_error,relative_graph_error,mean_p,max_p
14,142,884,0.5213039408226393,0.7220138093018992,0.1277715752589685,6.225352112676056,8
15,195,1208,0.35357526499211356,0.594621951320428,0.10522760427149207,6.194871794871795,8
16,257,1591,0.22021092931695135,0.46926637352036144,0.08304398473864809,6.190661478599222,8
17,329,2049,0.13649815413859254,0.36945656597033505,0.06538108664353846,6.227963525835866,8
18,420,2618,0.08790424986270826,0.29648650873641497,0.05246789988810817,6.233333333333333,8
19,538,3329,0.052174393331617726,0.2284171476304214,0.040421967548124764,6.187732342007435,8
