source_x,element,cx,cy,exact_angle,recovered_angle
0.0,0,0.692909649383465,0.2870125742738173,0.3926990816987242,0.3926990476562107
0.0,1,0.2870125742738174,0.692909649383465,1.1780972450961724,1.1780972123886493
0.0,2,-0.2870125742738173,0.692909649383465,1.9634954084936207,1.9634953854368682
0.0,3,-0.692909649383465,0.28701257427381743,2.748893571891069,2.7488935515212827
0.0,4,-0.6929096493834651,-0.28701257427381727,3.534291735288517,3.534291718062945
0.0,5,-0.2870125742738171,-0.6929096493834651,4.319689898685966,4.319689884439268
0.0,6,0.2870125742738175,-0.692909649383465,5.105088062083414,5.105088037115029
0.0,7,0.6929096493834651,-0.28701257427381716,5.8904862254808625,5.890486203197722
0.15,0,0.692909649383465,0.2870125742738173,0.486308921935316,0.4863087299895858
0.15,1,0.2870125742738174,0.692909649383465,1.3755794794500331,1.3755794117554692
0.15,2,-0.2870125742738173,0.692909649383465,2.1334783004707654,2.133478325626392
0.15,3,-0.692909649383465,0.28701257427381743,2.8134040711162758,2.813404085907449
0.15,4,-0.6929096493834651,-0.28701257427381727,3.4697812360633105,3.4697812519571856
0.15,5,-0.2870125742738171,-0.6929096493834651,4.149707006708821,4.149707036660583
0.15,6,0.2870125742738175,-0.692909649383465,4.907605827729553,4.907605763334726
0.15,7,0.6929096493834651,-0.28701257427381716,5.79687638524427,5.796876216150337
0.25,0,0.692909649383465,0.2870125742738173,0.5749792838601137,0.5749793681207153
0.25,1,0.2870125742738174,0.692909649383465,1.517430881590989,1.517430788400573
0.25,2,-0.2870125742738173,0.692909649383465,2.230113243960162,2.2301132613595147
0.25,3,-0.692909649383465,0.28701257427381743,2.8461129211799587,2.8461129247480623
0.25,4,-0.6929096493834651,-0.28701257427381727,3.4370723859996275,3.43707239028044
0.25,5,-0.2870125742738171,-0.6929096493834651,4.053072063219425,4.05307208401906
0.25,6,0.2870125742738175,-0.692909649383465,4.7657544255885975,4.765754332084114
0.25,7,0.6929096493834651,-0.28701257427381716,5.708206023319473,5.708206151023205
0.35,0,0.692909649383465,0.2870125742738173,0.6968935066367326,0.6968884138611712
0.35,1,0.2870125742738174,0.692909649383465,1.6614499724295264,1.6614498822617032
0.35,2,-0.2870125742738173,0.692909649383465,2.3141888796490635,2.314188871245699
0.35,3,-0.692909649383465,0.28701257427381743,2.8730370921087527,2.8730370930547693
0.35,4,-0.6929096493834651,-0.28701257427381727,3.4101482150708335,3.4101482164394645
0.35,5,-0.2870125742738171,-0.6929096493834651,3.9689964275305227,3.968996421481689
0.35,6,0.2870125742738175,-0.692909649383465,4.62173533475006,4.621735263403966
0.35,7,0.6929096493834651,-0.28701257427381716,5.586291800542854,5.586286915404969
