stage,estimator,qPW,MFB,E_L2,tail_pred,modal_data_err,angles_deg,kappa_GR
coarse solve,,,0,0.3723112894745333,,,,
cycle 1,inscribed circle,6,7,0.0007800400868170407,0.0032185101289472187,0.7896536288070615,-107.5458;-92.1431;-0.1188;24.1233;94.6831;125.9114,2.6336530944816166
cycle 2,inscribed circle,6,7,0.0008502682541514356,0.004812912110133368,0.04344302614847112,-162.1977;-55.7963;-7.3080;4.8810;91.0031;107.2240,2.548332890376872
cycle 1,element boundary,2,9,0.0002240566378761243,0.004607337213876664,0.7896536287785024,-144.3284;0.0726,2.883326571827456
cycle 2,element boundary,2,9,0.00022405663898269405,2.226792222615404e-08,0.0187247677626205,-144.3284;0.0726,2.8833265712230385
control,exact trace,2,9,0.00015981882640203615,0.01540257203681589,0.0,0.0000;180.0000,3.023155546258402
