source_x,element,p,method,trace_error,volume_L2_error,gram_cond,rank,angle_error_deg,esprit_hankel_cond,nfev
0.25,3,11,ESPRIT+VP,0.0009891740095450876,0.00047497775806291237,4584853757.256183,9,0.014005901546527732,6898.963401193874,31
0.25,3,11,equispaced,0.41135050833240455,0.25140853470158153,2.7329771677225088,11,,,0
0.25,4,1,ESPRIT+VP,0.550741858580652,0.45692784448974133,1.0,1,4.847803989930437e-08,1.0,3
0.25,4,1,equispaced,0.5511249497165553,0.4566973532183051,1.0,1,,,0
0.25,4,3,ESPRIT+VP,0.5441487684330711,0.4684861985442073,1.0464606316952454,3,2.452724944821765e-07,1.6636824413518372,13
0.25,4,3,equispaced,0.5503814275372215,0.45758019297185215,1.0108711119532554,3,,,0
0.25,4,5,ESPRIT+VP,0.19461951894353885,0.1709194206385052,12.411838390410235,5,3.1370168317620865e-06,1.6804716242058697,17
0.25,4,5,equispaced,0.5463259141594525,0.4700770639933104,1.2867560017150939,5,,,0
0.25,4,7,ESPRIT+VP,0.01341426582846046,0.008437944682891524,574498932418.2168,6,6.259756538228114,4.703502956211754,51
0.25,4,7,equispaced,0.5135553301208567,0.5074074897474304,1.3617128043983198,7,,,0
