tau_rank,p,local_rank,retained,E_L2,kappa_Kh,kappa_GR,status
1e-10,97,35,280,4.608031133745991e-08,158186.41927736189,5.864288474746716,ok
1e-11,97,37,296,1.539068353499676e-08,337445.60209814034,6.125313364174675,ok
1e-12,97,37,296,1.539068353499676e-08,337445.60209814034,6.125313364174675,ok
1e-13,97,,,,,cholesky_fail_graph_not_positive_definite
