nt,nr,ne,dofs,evals_A,sel_A,dg_A,tot_A,err_A,per_trial_A,evals_B,sel_B,dg_B,tot_B,err_B,per_trial_B,ratio,th_A,th_B
8,1,8,24,150,0.9408441140000008,0.004789315000003569,0.9456334290000044,0.7795427655311009,0.006272294093333339,227,0.06968148900000415,0.00519710400000406,0.07487859300000821,0.7425597543555872,0.0003069669118942914,12.6288888601299,17.647;204.264;299.582,19.302;183.088;200.174
16,2,32,96,198,6.779478024999996,0.030842873000004545,6.8103208980000005,0.564013704657101,0.03423978800505049,194,0.2166201000000001,0.03787150300000519,0.2544916030000053,0.5748343668460787,0.0011165984536082479,26.76049353974111,26.492;198.207;356.994,13.308;185.553;217.732
32,4,128,384,190,58.48703652399999,0.2739604360000101,58.76099696,0.42594002010399007,0.3078265080210526,179,0.7035092309999982,0.5368589279999867,1.2403681589999849,0.45954120087162825,0.0039302191675977555,47.37383536785929,32.964;201.589;358.952,15.622;177.420;222.396
