source_x,element,p,method,trace_error,volume_L2_error,gram_cond,rank,principal_angle_error_deg,half_aperture_deg
0.15,5,7,ESPRIT-centered fan,0.050389855979625246,0.030422433065983155,7461.146654881877,7,7.383212415362149e-09,30.74455399455895
0.15,5,7,equispaced,0.5929130992128924,0.5939687612151694,1.3617128043983207,7,,
0.15,5,9,ESPRIT-centered fan,0.021216379565454732,0.011962918969389204,450651.7333070748,9,7.383212415362149e-09,36.161164261729404
0.15,5,9,equispaced,0.5821506800942913,0.4848855953637932,2.105613834636552,9,,
0.15,5,13,ESPRIT-centered fan,0.00393650113978549,0.0018824275079558027,4142994617.8769727,13,7.383212415362149e-09,43.93916671624615
0.15,5,13,equispaced,0.34330101479509495,0.08443651500256251,2.277983180040371,13,,
0.15,5,17,ESPRIT-centered fan,0.0007959655515517992,0.00034494993714082213,49627519380.942825,15,7.383212415362149e-09,47.909980110398564
0.15,5,17,equispaced,0.108289055817483,0.005905668913638786,4.0357975844456915,17,,
0.15,5,21,ESPRIT-centered fan,0.0001756863943436166,7.137584382206177e-05,218833834867.37592,16,7.383212415362149e-09,48.836664120836616
0.15,5,21,equispaced,0.02173542507309222,0.0006270373394768001,86.27377086438428,21,,
0.15,6,1,ESPRIT-centered fan,0.720271817456565,0.6028237709227304,1.0,1,6.525378651115262e-09,0.0
0.15,6,1,equispaced,0.720271817456565,0.602823770905777,1.0,1,,
0.15,6,3,ESPRIT-centered fan,0.3673379183233128,0.22420997853769994,2.4985282558866757,3,6.525378651115262e-09,17.790011488888236
0.15,6,3,equispaced,0.7188390040547223,0.6049338600912251,1.010871111953255,3,,
0.15,6,5,ESPRIT-centered fan,0.17785014494839133,0.10882313811088479,44.05547902236649,5,6.525378651115262e-09,27.816752136820956
0.15,6,5,equispaced,0.8488887747812165,1.0076973978042352,1.286756001715094,5,,
0.15,6,7,ESPRIT-centered fan,0.08639350753238145,0.05088966965979694,1206.9804739163694,7,6.525378651115262e-09,35.4562608317894
0.15,6,7,equispaced,0.6570635738106645,0.6666483307611699,1.36171280439832,7,,
0.15,6,9,ESPRIT-centered fan,0.04244906582453649,0.022906198732593756,42403.43020501329,9,6.525378651115262e-09,41.7758278043686
0.15,6,9,equispaced,0.6354604417915778,0.5479235401467683,2.105613834636552,9,,
0.15,6,13,ESPRIT-centered fan,0.010887603853050926,0.004916851865924879,145507461.0148458,13,6.525378651115262e-09,50.425018165843206
0.15,6,13,equispaced,0.3838417865334599,0.09352881730192456,2.277983180040371,13,,
0.15,6,17,ESPRIT-centered fan,0.003084781964730925,0.0012558839818719706,59697541831.77437,16,6.525378651115262e-09,54.256650868197255
0.15,6,17,equispaced,0.12709754777273913,0.0067523771048802065,4.03579758444571,17,,
0.15,6,21,ESPRIT-centered fan,0.000955911570884798,0.00036098715691621934,218330345467.6334,17,6.525378651115262e-09,54.4966073508571
0.15,6,21,equispaced,0.028510635929438085,0.0009015437445853505,86.27377086437819,21,,
0.15,7,1,ESPRIT-centered fan,0.7941272292741713,0.661158381793032,1.0,1,1.8336228516324047e-08,0.0
0.15,7,1,equispaced,0.7941272292758335,0.6611584120835856,1.0,1,,
0.15,7,3,ESPRIT-centered fan,0.45604361948034855,0.27646221402719867,1.5435111780063528,3,1.8336228516324047e-08,20.44202479757401
0.15,7,3,equispaced,0.7920939691168811,0.6638432646007774,1.0108711119532559,3,,
0.15,7,5,ESPRIT-centered fan,0.2542483080974089,0.1533623452018144,14.814649033384724,5,1.8336228516324047e-08,31.670146214317008
0.15,7,5,equispaced,0.7741506281217148,0.7054540132515067,1.286756001715095,5,,
0.15,7,7,ESPRIT-centered fan,0.14305924352986826,0.0811001682516348,238.58405753967568,7,1.8336228516324047e-08,40.56526911988989
0.15,7,7,equispaced,0.7138169942124876,0.7319473261518649,1.3617128043983195,7,,
0.15,7,9,ESPRIT-centered fan,0.08194775570561257,0.041319829273817166,4737.567832439436,9,1.8336228516324047e-08,47.83619922211912
0.15,7,9,equispaced,0.6777835279388694,0.6072135146394968,2.1056138346365536,9,,
0.15,7,13,ESPRIT-centered fan,0.029140631944327713,0.012128560940970697,7825324.111742803,13,1.8336228516324047e-08,57.05807179788339
0.15,7,13,equispaced,0.4254878171754129,0.10319155592278857,2.2779831800403687,13,,
0.15,7,17,ESPRIT-centered fan,0.011572495266700651,0.0042860342847454045,148810004110.49277,17,1.8336228516324047e-08,60.27129730199809
