N,q,max_angle_error_deg,kappa_H,kappa_shift,node_modulus_min,node_modulus_max
1001,400,2.2737367544323206e-13,3.6605708585890793,1.497483772225289,0.9999999999999881,1.000000000000014
1001,440,2.0179413695586845e-12,72.78952670565852,2.2955704540104986,0.9999999999999638,1.0000000000000333
1001,450,1.276558236895653e-08,126003.44506358381,3.543136510373858,0.9999999998182683,1.000000000223715
1001,470,0.008156193232224496,803711714941.6526,36.53199396023024,0.9998652367500473,1.0001020377830263
1001,480,94.74999999999977,45962465575217.06,101.65416812006046,0.9193216369863422,1.0399482335885362
1201,480,2.1691789697797503e-07,2808587.606540329,2.2599612944483107,0.9999999964531266,1.0000000033221608
1201,500,0.2097583421664524,3978357643319.8564,7.738840156311041,0.9928451859161536,1.0082482617205089
1401,500,3.410605131648481e-13,2.981769274114094,1.4777024596468689,0.9999999999999877,1.000000000000012
1401,540,1.7067236512957606e-11,211.71326996177947,1.9073801443256424,0.9999999999997902,1.0000000000002052
1401,560,1.1002043720509391e-10,4928.22020623872,2.874438559189287,0.9999999999977617,1.000000000002102
1401,580,5.9546266584220575e-08,917374.467550849,4.330393229560007,0.9999999992923257,1.0000000008390135
1401,600,0.0014762441116928926,18346909811.63104,14.171019574823301,0.999978537813483,1.0000112142762319
1401,640,6.149999999882198,15999072650310.578,157.17377233491237,0.9938491087518683,1.0054440959786606
1601,600,5.684341886080801e-13,4.652501765212782,1.575533978642593,0.9999999999999851,1.0000000000000207
1601,640,3.7118752516107634e-11,1018.4535760178125,2.353346675123607,0.9999999999993574,1.000000000000602
1601,680,5.234142008703202e-10,2945.2866739648903,3.848598070786179,0.9999999999925007,1.0000000000079527
1601,700,59.900000000000034,20339287872427.668,45.31691298052555,0.9078350755031235,1.0421349279150276
1801,700,5.7411853049416095e-12,345.5968485908506,1.9562478722368133,0.9999999999999206,1.000000000000121
1801,720,1.7053025658242404e-11,488.0135654376382,2.3151822940502345,0.9999999999997667,1.0000000000003335
1801,740,2.796127773763146e-10,7024.55174836286,3.1400325872496855,0.9999999999952074,1.0000000000048264
1801,760,2.798205223086825e-09,26591.40767712466,6.165849937450782,0.9999999999656115,1.0000000000517253
1801,780,1.308505311214958e-06,26622269.880932584,12.996973264993299,0.9999999768321464,1.0000000156556903
1801,800,1.0396250491595538e-06,31324687.47310441,15.686437155478165,0.9999999814475696,1.0000000118590848
2001,800,3.410605131648481e-13,4.99461125914725,1.5181156005338408,0.999999999999986,1.0000000000000122
2001,820,3.979039320256561e-13,4.996102758285335,1.5595194080671442,0.9999999999999809,1.0000000000000187
2001,840,3.552713678800501e-13,15.623692526635056,1.6592066120700664,0.9999999999999837,1.0000000000000182
2001,860,1.332978172285948e-11,289.5222590690204,1.9898619445843129,0.9999999999997045,1.000000000000299
2001,880,1.9980461729574017e-11,569.2156819734208,3.1913017905633234,0.9999999999995561,1.0000000000003817
2001,900,0.12656422555249947,1003169801934.439,9.643631195766304,0.9980918695175324,1.0015867664537323
2201,900,9.464429240324534e-12,216.46616727577708,1.7544090097139309,0.9999999999998305,1.0000000000001763
2201,920,7.354543640758493e-10,25002.961007073827,2.0267054675117113,0.9999999999936124,1.0000000000120737
2201,940,0.17017532447709982,2927892452129.7993,4.308963159056589,0.9922404115734538,1.0117949365824457
