source_x,element,cx,cy,truth,recovered,angle_error_deg
0.0,0,0.692909649383465,0.2870125742738173,0.3926990816987242,0.39269908169872414,3.1805546814635168e-15
0.0,1,0.2870125742738174,0.692909649383465,1.1780972450961724,1.1780972450961724,0.0
0.0,2,-0.2870125742738173,0.692909649383465,1.9634954084936207,1.9634954084936207,0.0
0.0,3,-0.692909649383465,0.28701257427381743,2.748893571891069,2.748893571891069,0.0
0.0,4,-0.6929096493834651,-0.28701257427381727,3.534291735288517,3.5342917352885173,2.5444437451708134e-14
0.0,5,-0.2870125742738171,-0.6929096493834651,4.319689898685966,4.319689898685966,0.0
0.0,6,0.2870125742738175,-0.692909649383465,5.105088062083414,5.105088062083415,5.088887490341627e-14
0.0,7,0.6929096493834651,-0.28701257427381716,5.8904862254808625,5.890486225480863,5.088887490341627e-14
0.15,0,0.692909649383465,0.2870125742738173,0.486308921935316,0.48630891504218526,3.949472986257598e-07
0.15,1,0.2870125742738174,0.692909649383465,1.3755794794500331,1.3755794795639227,6.525391373333987e-09
0.15,2,-0.2870125742738173,0.692909649383465,2.1334783004707654,2.133478300599627,7.383237859799601e-09
0.15,3,-0.692909649383465,0.28701257427381743,2.8134040711162758,2.8134040710107486,6.046259893899597e-09
0.15,4,-0.6929096493834651,-0.28701257427381727,3.4697812360633105,3.4697812361688367,6.046209005024693e-09
0.15,5,-0.2870125742738171,-0.6929096493834651,4.149707006708821,4.14970700657996,7.383212415362149e-09
0.15,6,0.2870125742738175,-0.692909649383465,4.907605827729553,4.907605827615663,6.525378651115262e-09
0.15,7,0.6929096493834651,-0.28701257427381716,5.79687638524427,5.796876384924243,1.8336228516324047e-08
0.25,0,0.692909649383465,0.2870125742738173,0.5749792838601137,0.5749792844259188,3.2418248868472297e-08
0.25,1,0.2870125742738174,0.692909649383465,1.517430881590989,1.5174308821429956,3.162765203019155e-08
0.25,2,-0.2870125742738173,0.692909649383465,2.230113243960162,2.2301132438829097,4.426238005786792e-09
0.25,3,-0.692909649383465,0.28701257427381743,2.8461129211799587,2.8461129198607846,7.558310856129824e-08
0.25,4,-0.6929096493834651,-0.28701257427381727,3.4370723859996275,3.437072387317985,7.553631624082455e-08
0.25,5,-0.2870125742738171,-0.6929096493834651,4.053072063219425,4.0530720632966775,4.4262634502242435e-09
0.25,6,0.2870125742738175,-0.692909649383465,4.7657544255885975,4.765754425036591,3.1627639307972826e-08
0.25,7,0.6929096493834651,-0.28701257427381716,5.708206023319473,5.708206022753667,3.2418299757347205e-08
0.35,0,0.692909649383465,0.2870125742738173,0.6968935066367326,1.2145462947827155,29.65932001394455
0.35,1,0.2870125742738174,0.692909649383465,1.6614499724295264,1.6614499723577703,4.111324925665726e-09
0.35,2,-0.2870125742738173,0.692909649383465,2.3141888796490635,2.3141888785588476,6.246477083319599e-08
0.35,3,-0.692909649383465,0.28701257427381743,2.8730370921087527,2.8730370906592353,8.305122906443674e-08
0.35,4,-0.6929096493834651,-0.28701257427381727,3.4101482150708335,3.410148216520351,8.305122906443674e-08
0.35,5,-0.2870125742738171,-0.6929096493834651,3.9689964275305227,3.9689964286223463,6.255687969677116e-08
0.35,6,0.2870125742738175,-0.692909649383465,4.62173533475006,4.621735334821817,4.111363092321904e-09
0.35,7,0.6929096493834651,-0.28701257427381716,5.586291800542854,5.068639045135094,29.65931813818257
