source_x,p,method,trace_error,volume_L2_error,max_gram_cond,min_rank,max_angle_error_deg
0.0,1,ESPRIT+VP,0.6885589390491335,0.5710845018092272,1.0,1,4.692491143725211e-08
0.0,1,equispaced,0.6922226111429115,0.571670625437179,1.0,1,
0.0,3,ESPRIT+VP,0.6775883115414271,0.5930398147708181,1.0257803832165837,3,1.9504923461250002e-06
0.0,3,equispaced,0.6877157625339778,0.5725435247466784,1.0108711119532563,3,
0.0,5,ESPRIT+VP,0.1423256091635187,0.12273825562136748,158959376054.17242,4,21.09050065447126
0.0,5,equispaced,0.6781936415719109,0.5966122427016944,1.286756001715095,5,
0.0,7,ESPRIT+VP,0.2911020509814132,0.2761294877159006,562571054158.9543,6,0.0017832629544466128
0.0,7,equispaced,0.6314119304206086,0.6344004381051631,1.3617128043983213,7,
0.0,9,ESPRIT+VP,0.012814154699593742,0.005833148970117363,836392989688.8018,7,0.006769305673158761
0.0,9,equispaced,0.6146724956456855,0.5179436510641109,2.1056138346365563,9,
0.0,11,ESPRIT+VP,0.005904967237289135,0.00275805197240337,335060745680.3823,8,0.010985225311716038
0.0,11,equispaced,0.49831232347724086,0.3173050494449713,2.73297716772251,11,
0.15,1,ESPRIT+VP,0.6932837891149355,0.5778186194278647,1.0,1,1.0224619112392707e-06
0.15,1,equispaced,0.6961196691552727,0.5792091005567366,1.0,1,
0.15,3,ESPRIT+VP,0.6641901337023418,0.6119055764370817,1.3325368464165934,3,1.0997680235964909e-05
0.15,3,equispaced,0.692098669571313,0.5795504154795297,1.0108711119532563,3,
0.15,5,ESPRIT+VP,0.2637794754422291,0.19204921643210068,212458272236.37076,5,21.065556977805162
0.15,5,equispaced,0.6811783989252853,0.6071427701072857,1.2867560017150956,5,
0.15,7,ESPRIT+VP,0.19365806216554096,0.17558017841573043,961282988639.6987,6,18.899592823557676
0.15,7,equispaced,0.6330615050156178,0.6402202911616109,1.3617128043983222,7,
0.15,9,ESPRIT+VP,0.030144415121325284,0.017397915093093862,317518805575.3639,7,0.010296010036051963
0.15,9,equispaced,0.6133662388705302,0.52585285607957,2.105613834636554,9,
0.15,11,ESPRIT+VP,0.01267897773213563,0.005337788470311403,120808160328.94862,9,0.13498635270126288
0.15,11,equispaced,0.4992146685778182,0.3208094473959902,2.732977167722511,11,
0.25,1,ESPRIT+VP,0.7006174944295115,0.5885221535696232,1.0,1,1.52338566906518e-05
0.25,1,equispaced,0.7023759595396731,0.5902179313469889,1.0,1,
0.25,3,ESPRIT+VP,0.6641099741532941,0.6245718102656962,1.3455515640788218,3,7.316884873590534e-06
0.25,3,equispaced,0.6991104112812175,0.5915133529634544,1.0108711119532559,3,
0.25,5,ESPRIT+VP,0.47007579357433804,0.46131228374867156,29925561506.96093,5,12.372724546248218
0.25,5,equispaced,0.6741949472796447,0.678522586164322,1.286756001715095,5,
0.25,7,ESPRIT+VP,0.23283347219802225,0.19482161326420044,574498932418.2168,6,19.076688515317965
0.25,7,equispaced,0.6264605041856512,0.6523117157976064,1.3617128043983207,7,
0.25,9,ESPRIT+VP,0.12863604079763064,0.12015441969049637,880272655300.3107,7,6.052904139838067
0.25,9,equispaced,0.5987558273438125,0.5367928991020551,2.1056138346365563,9,
0.25,11,ESPRIT+VP,0.039405767081201665,0.012965068949057001,966809036541.7086,8,0.020143984975735958
0.25,11,equispaced,0.5018824127920972,0.32623298474693113,2.732977167722509,11,
0.35,1,ESPRIT+VP,0.7114122072687563,0.6006784617218338,1.0,1,0.0001633721572205584
0.35,1,equispaced,0.7040635224067809,0.6503291873609066,1.0,1,
0.35,3,ESPRIT+VP,0.6704512253581657,0.6410955476470359,1.4041907262603481,3,0.00029179454567428305
0.35,3,equispaced,0.6963116290812439,0.664618683804839,1.0108711119532565,3,
0.35,5,ESPRIT+VP,0.523318182725258,0.5146131315663482,520429681833.1357,4,35.81771375331504
0.35,5,equispaced,0.6722120221989137,0.6577988432594558,1.2867560017150947,5,
0.35,7,ESPRIT+VP,0.32276453450393316,0.19103661893871451,464065724277.75616,6,13.853332318940856
0.35,7,equispaced,0.6334318919645069,0.6391645170159305,1.361712804398322,7,
0.35,9,ESPRIT+VP,0.2587684944057922,0.07401191202527897,303599765298.48145,7,0.500164482685069
0.35,9,equispaced,0.6165489113480717,0.5323321078842376,2.1056138346365527,9,
0.35,11,ESPRIT+VP,0.22829139894207923,0.040624436266480775,66882016955.47879,8,0.05612134975806845
0.35,11,equispaced,0.5375235518366875,0.33848932867395826,2.7329771677225088,11,
