p,qPW,MFB,nominal_local,retained_local,pred_trace,E_L2,kappa_tr_raw,kappa_tr_final,kappa_K,kappa_GR,G_min,alg_res,time_s,angles_deg_rel
21,2,9,21,21,0.015402572036815892,0.0001598188264021903,42789.38588676154,1.0000000000071994,723.1987674998212,3.0231555463378537,0.0009538708607736545,1.2802148994298358e-15,1.7924928665161133,0.00000001;-179.99999997
27,2,12,27,27,0.00101786455250645,4.6275037250706815e-06,55370817.260214865,1.000000004858848,10238.22949843546,3.3292951582661408,5.7432984772136024e-05,3.2458950739471833e-15,1.8410313129425049,179.99999999;-0.00000001
33,2,15,33,33,0.00010435162218583414,5.643425717510365e-08,302309591302.5144,1.0000267722621308,114794.96927425759,5.731542023859763,3.1975913798808696e-06,7.062453011311969e-15,1.787093162536621,179.99999957;-0.00000043
39,0,19,39,39,2.4869359233800847e-05,6.824335530878666e-09,1545506614831.5618,1.0000000000000286,713220.153116609,6.367671232233303,4.861218533237061e-07,9.670803462187849e-15,2.157097339630127,
45,0,22,45,45,4.032673442036562e-06,3.050542858930548e-10,4.384600000496586e+16,1.000000000000075,8612848.425348159,7.909007657685486,3.884429967965631e-08,2.3895774592758205e-14,2.2845780849456787,
53,0,26,53,53,3.915696501738795e-07,6.3123635204708376e-12,1.4574811778954982e+23,1.000000000000047,206317440.23892432,10.68534208020034,1.2442115553707796e-09,9.146386933421372e-14,2.7035655975341797,
61,0,30,61,61,4.037066636401321e-08,3.5004636969102683e-13,2.148279516417931e+30,1.0000000000002796,5415599183.439196,13.151727901021694,4.6076111369938856e-11,2.7139661499024536e-13,3.001056671142578,
