n,ntri,p,test_degree,full_c0_dofs,fixed_boundary_dofs,free_dofs,residual_rows,retained_local_dim,relL2,relH1,absLinf,residual_rms,success,nfev,njev,seconds,solver,total_seconds
2,8,5,4,121,40,81,120,6,1.621350236477075e-06,3.3477676484420095e-05,3.201497991767166e-06,9.394705998686678e-09,True,5,5,0.036938229000043,vectorized sparse Gauss-Newton/LSMR,0.050456220000342
3,18,5,4,256,60,196,270,6,6.768679631615106e-07,2.124021665986289e-05,2.3373850501218207e-06,2.059979317124569e-09,True,4,4,0.0876878189992567,vectorized sparse Gauss-Newton/LSMR,0.1146178259996304
4,32,5,4,441,80,361,480,6,1.5250074858599217e-07,5.855653207332858e-06,5.428556208997293e-07,3.21311291547521e-10,True,4,4,0.1181992599995283,vectorized sparse Gauss-Newton/LSMR,0.1684544939998886
5,50,5,4,676,100,576,750,6,4.2871196121512736e-08,1.9968153829919274e-06,1.5294317801117785e-07,6.305102351267991e-11,True,4,4,0.1848975700004302,vectorized sparse Gauss-Newton/LSMR,0.2883257869998488
6,72,5,4,961,120,841,1080,6,1.5201775569910224e-08,8.268645395723571e-07,4.791709573570557e-08,1.828264717929812e-11,True,5,5,0.2451265910003712,vectorized sparse Gauss-Newton/LSMR,0.4016860700003235
7,98,5,4,1296,140,1156,1470,6,6.473959807825131e-09,3.995526704121564e-07,2.0487600282947938e-08,5.973614181344174e-12,True,5,5,0.28504910099945846,vectorized sparse Gauss-Newton/LSMR,0.28504910099945846
