nx,nz,ntri,p,c0_dofs,free_c0_dofs,local_c0_dim,local_qt_dim,local_compression,c0_relrmse,qt_relrmse,error_ratio,c0_mae,qt_mae,c0_residual,qt_residual,residual_ratio,c0_projection_time,qt_correction_time
6,2,24,7,645,533,36,8,4.5,0.00019558209796084145,0.0011083997181324228,5.667183907365292,0.00013025345987597483,0.0007881708166134255,1.763095463716085e-05,4.780865947627166e-06,0.2711631925789492,0.0021040179999545217,0.0834262629996374
12,4,96,7,2465,2241,36,8,4.5,3.155548301742746e-05,0.0008626034985579585,27.336089201409465,9.517789181825978e-06,0.0005667637858644873,4.018974444964565e-06,1.805289053928746e-06,0.449191473757844,0.01266927299911913,0.2462288560000161
18,6,216,7,5461,5125,36,8,4.5,1.669821889063621e-05,0.0008583838949820854,51.40571581939423,5.028476887543581e-06,0.0005456381619605964,1.8957704227938714e-06,9.42770337926659e-07,0.49730195523214316,0.038886456000909675,0.5062979750000522
24,8,384,7,9633,9185,36,8,4.5,6.588825920337106e-06,0.0006246799091679164,94.80898671791827,2.1299370534409727e-06,0.00045940285503263603,1.1103274685941111e-06,7.214678075447419e-07,0.6497793020092166,0.10146856900064449,1.0819760890008183
30,10,600,7,14981,14421,36,8,4.5,5.358823389891284e-06,0.0005540739130808227,103.39469558299129,1.992849679391047e-06,0.00041639515154262265,7.289848135649906e-07,4.853847113581746e-07,0.6658365199467925,0.21220858299966494,1.8168576989992289
36,12,864,7,21505,20833,36,8,4.5,2.734064405339489e-06,0.0003903138766211086,142.75957649675166,1.3860460716384459e-06,0.0003112564243397617,5.180296619563559e-07,3.4574651922453457e-07,0.6674261043640081,0.46052012700056366,2.775638044999141
