nx,nz,ntri,dofs,relrmse,mae,linf,residual_rms,time,nfev,p,selector_relrmse
6,2,24,133,0.07089719817589298,0.06927129607730251,0.34220710709419677,0.00013654675122393373,0.02215275299931818,9,3,0.07495474140591049
12,4,96,481,0.0656614246535594,0.05908969075680865,0.35458608138881176,9.947619323273699e-05,0.02917344199886429,6,3,0.07495474140591049
18,6,216,1045,0.06091471478276566,0.054661242671105004,0.3315616700109094,3.612345914626157e-05,0.07365107800069381,11,3,0.07495474140591049
24,8,384,1825,0.05693771672596228,0.04952089608494519,0.28882466002991514,2.4588013142219584e-05,0.1359352770014084,10,3,0.07495474140591049
30,10,600,2821,0.05435431392308604,0.04640946910630945,0.2728014455294223,1.546940494257676e-05,0.17556967200107465,11,3,0.07495474140591049
36,12,864,4033,0.053328926017488426,0.045025581530364775,0.26819857538755354,1.1940541503292063e-05,0.20382120599970222,11,3,0.07495474140591049
