n,ntri,p,test_degree,full_c0_dofs,fixed_boundary_dofs,free_dofs,residual_rows,retained_local_dim,relL2,relH1,absLinf,residual_rms,success,nfev,njev,seconds,solver,total_seconds
3,18,3,2,100,36,64,108,4,8.402548885541059e-05,0.0018375476484977118,0.000254753435587729,1.715654195288732e-06,True,6,6,0.018288878000021214,vectorized sparse Gauss-Newton/LSMR,0.032357437000428035
3,18,5,4,256,60,196,270,6,6.768680576497687e-07,2.1240218023403537e-05,2.3373852853225685e-06,2.0599793171189713e-09,True,4,4,0.09040731499953836,vectorized sparse Gauss-Newton/LSMR,0.12494799500018416
3,18,7,6,484,84,400,504,8,3.2648367572274805e-09,1.428346658509526e-07,1.1888760753642202e-08,2.0416221620826696e-12,True,12,12,0.7998909349998939,vectorized sparse Gauss-Newton/LSMR,0.8887152699999206
3,18,9,8,784,108,676,810,10,1.0930414873804387e-09,6.249552808136036e-08,8.754971692059854e-09,4.0605639261635763e-13,True,4,4,0.3019858050001858,vectorized sparse Gauss-Newton/LSMR,0.4319027419996928
3,18,11,10,1156,132,1024,1188,12,6.650535766857414e-10,4.4928886309338194e-08,6.959937959294393e-09,1.8826243471626303e-13,True,2,2,0.20059173699974053,vectorized sparse Gauss-Newton/LSMR,0.45332693199998175
3,18,13,12,1600,156,1444,1638,14,3.8151776607921687e-10,2.8056801606576493e-08,4.337937176135398e-09,7.703519125063619e-14,True,2,2,0.3844991910000317,vectorized sparse Gauss-Newton/LSMR,0.7379668209996453
