initialization,direction_model,nfev,J_Q,relative_L2,theta_deg,eta
centroid radial,real,17,0.4560437374037297,0.3546187720539191,323.632720607;322.997042574;8.7596224263;15.7423545552;336.528806457;335.483996927;6.26106776137;8.08841513602,0;0;0;0;0;0;0;0
perturbed radial,real,22,0.45604373740373283,0.35461873914802483,323.63271658;322.997038034;8.75962674677;15.7423570133;336.528805521;335.483996066;6.26107006194;8.08841853915,0;0;0;0;0;0;0;0
blind Sobol,real,136,1.5792373277221183,0.9898262156479154,308.290106842;20.8436092827;52.1134030463;160.889751486;196.328582765;104.563684346;100.772540971;259.50655587,0;0;0;0;0;0;0;0
centroid radial,complex,34,0.3681172692889807,0.4509954104977601,317.201952918;315.939113516;13.5659761685;18.7604789532;336.052424314;334.479365125;8.24965250503;11.2502361535,0.127284756638;0.143201371536;-0.121368699024;-0.0508179351751;0.0491909423994;0.0593900541498;-0.0893863948834;-0.0875002224963
