p,relative_trace_error,broken_relative_L2_error,raw_trace_gram_condition,orth_trace_gram_condition_minus_1
49,1.2651230312148484e-06,3.812144845407447e-09,6.550731105982389e+19,1.653253961889502e-70
57,1.2646679041852432e-07,1.3914705849144832e-10,4.3172650709907004e+26,1.8689271106978877e-64
65,1.3261946283144398e-08,1.4637389332639748e-11,9.442497642217316e+33,9.485300328554824e-57
73,1.4326828112980637e-09,7.382822361192461e-13,5.843980353094506e+41,3.699107978212539e-49
81,1.5787836217781222e-10,7.016820057947487e-14,9.063223182418777e+49,5.051747377296274e-41
89,1.7642950449998958e-11,4.8702093466034095e-15,3.2002042232121175e+58,1.7599239980647387e-32
97,1.9919093521762437e-12,3.72201412752552e-16,2.380680494876177e+67,2.897869891295436e-23
