kappa,adaptive_relative_L2,uniform_relative_L2,adaptive_skeleton_residual_squared,adaptive_graph_riesz_condition,uniform_graph_riesz_condition,fan_half_width_deg,direction_trials
8,0.029963182546479068,1.0200851856663697,0.010022954046353684,2.903340844817984,2.5300872776247583,20.0,54
16,0.07210943328480332,1.0197630851872281,0.05385280253187436,2.7079318939358705,2.3773807994143463,14.999999999999998,36
24,0.1598702325254897,0.9785492027789067,0.19203506303502754,2.212040019095506,2.414810859051031,14.999999999999998,54
32,0.2761778569982296,1.006976657445941,0.46295968867041354,2.0030417523675523,2.4351373528509304,9.999999999999998,36
40,0.41522733660199573,1.0474990725707596,0.765572527780541,1.985776586674946,2.31499965514573,14.999999999999998,54
