iteration,J,rms_direction_error_deg,rms_angle_update_deg,theta1_deg,theta2_deg
0,72.36893216385404,15.66172841233704,,18.955069405491294,140.8436736786238
1,66.18293086487932,13.275304016330661,2.393090802713098,21.840567781291373,139.07515274198911
2,57.30948661307796,10.458426478912669,3.0014339492104454,25.87000363486206,137.74066474844813
3,37.66516419478009,7.249227819141654,3.8491228334030407,31.150735819736173,136.41954372262043
4,14.302393920043867,3.805299153074012,3.9893531307692935,35.81813982326713,133.2501247424632
5,0.6795671623615331,0.7179837939162094,3.0948833149156396,36.908267882526694,129.01123027806554
6,1.5880578293798866e-06,0.001286157648062517,0.7177263214085643,36.99819248671303,128.00020322083745
7,1.2321299422532314e-10,1.5991922740273475e-06,0.0012846211332916138,36.99999777053124,127.99999962013041
8,1.232129357599206e-10,1.59160513956396e-06,7.831607053218935e-09,36.99999778157037,127.99999961923265
9,1.232129357599206e-10,1.59160513956396e-06,0.0,36.99999778157037,127.99999961923265
