r,nfev,J,L2,angles_deg
1,27,33.60785439306244,0.6706812200159671,36.14317834
2,11,2.5411484395344675e-12,8.471560832725597e-08,36.99999778;127.99999962
3,32,4.1155292264378825e-12,1.386503006661957e-07,36.99999719;127.99999930;324.10791995
