omega,relative_field_L2,relative_phase_L2,omega_times_rel_phase
50,2.583860291252782e-05,6.768679631564396e-07,3.384339815782198e-05
100,5.167720580495675e-05,6.768679631564396e-07,6.768679631564396e-05
250,0.00012919301416055906,6.768679631564396e-07,0.0001692169907891099
500,0.00025838602580871453,6.768679631564396e-07,0.0003384339815782198
1000,0.000516772031518214,6.768679631564396e-07,0.0006768679631564396
2000,0.0010335439022427252,6.768679631564396e-07,0.0013537359263128793
5000,0.0025838569417179014,6.768679631564396e-07,0.0033843398157821984
10000,0.005167693784336651,6.768679631564396e-07,0.006768679631564397
20000,0.010335226778721911,6.768679631564396e-07,0.013537359263128794
