nx,nz,ntri,dofs,relrmse,mae,linf,residual_rms,time,nfev
6,2,24,645,0.051035473986588864,0.0497307190265731,0.19278090189054886,0.00010363025852418959,0.05219909399966127,6
12,4,96,2465,0.04896120809741562,0.04558583404010569,0.20003362928309798,1.698029187438499e-05,0.1341860809989157,11
18,6,216,5461,0.04757170161763932,0.04452324772877824,0.17900671665743784,8.042237770596308e-06,0.30598853599985887,10
24,8,384,9633,0.04557684577460534,0.042211799400327626,0.1702788596276279,9.64229381074085e-06,0.5901170060005825,6
30,10,600,14981,0.04475913231649066,0.04177647757910208,0.1651715776820235,8.247967135261046e-06,0.9782015600012528,6
36,12,864,21505,0.04442000228849786,0.04205220091226663,0.17065661796862708,7.981444023878192e-06,1.2729698839993944,7
