n,ntri,p,test_degree,full_c0_dofs,fixed_boundary_dofs,free_dofs,residual_rows,retained_local_dim,relL2,relH1,absLinf,residual_rms,success,nfev,njev,seconds,solver,total_seconds
2,8,5,4,121,40,81,120,6,0.0004691381162184945,0.010289326916400072,0.0015977200957476567,2.5293757189324254e-06,True,21,21,0.15553514499970333,vectorized sparse Gauss-Newton/LSMR,0.17060824200052593
3,18,5,4,256,60,196,270,6,0.00013115042541482025,0.004192002649411454,0.0004640022628736862,5.021594797056836e-07,True,8,8,0.14818517099956807,vectorized sparse Gauss-Newton/LSMR,0.17796734000057768
4,32,5,4,441,80,361,480,6,1.8274094773595823e-05,0.000826237358909949,6.291876102998417e-05,4.9232702401301935e-08,True,5,5,0.15365503199973318,vectorized sparse Gauss-Newton/LSMR,0.20250733400007448
5,50,5,4,676,100,576,750,6,4.829401968525106e-06,0.00028739751278191643,1.6557300937858344e-05,1.1159512932833835e-08,True,5,5,0.22479336400010652,vectorized sparse Gauss-Newton/LSMR,0.3225426939998215
6,72,5,4,961,120,841,1080,6,2.9550551188806774e-06,0.00018626360449826938,1.2743776439061438e-05,4.071322459797097e-09,True,5,5,0.29494921199966484,vectorized sparse Gauss-Newton/LSMR,0.44284874300046795
7,98,5,4,1296,140,1156,1470,6,1.0118448477369586e-06,7.996686416903332e-05,4.992783175672422e-06,1.329058061417343e-09,True,5,5,0.29063928600044164,vectorized sparse Gauss-Newton/LSMR,0.4823168680004528
