n,ntri,p,full_c0_dofs,retained_trace_dim,dependent_dofs,relL2,relH1,absLinf,selected_rms,remaining_rms,full_residual_rms,nfev,seconds,success,solver
4,32,3,169,48,121,0.00010818863790748029,0.0017397277164518908,0.0003514695071523688,2.729920526044662e-19,8.274654953382833e-06,5.031858884701535e-06,4,0.004523716999983662,True,embedded C0-qT sparse Newton
4,32,5,441,80,361,1.1493559233029335e-06,3.525415061188398e-05,6.67491194966674e-06,1.4642008769801522e-17,2.3152308859437378e-08,1.1527819544585314e-08,3,0.0070483719999856476,True,embedded C0-qT sparse Newton
4,32,7,841,112,729,1.3988015523070004e-08,9.163890697368485e-07,1.1044971870433073e-07,4.520241527712702e-15,5.203506904399912e-11,2.2464687056520024e-11,2,0.009786959000052775,True,embedded C0-qT sparse Newton
4,32,9,1369,144,1225,4.237111855666284e-11,2.184095174520883e-09,3.094871303677138e-10,3.625390104310501e-20,4.4554437845712286e-14,1.721586911929961e-14,2,0.025199515999929645,True,embedded C0-qT sparse Newton
4,32,11,2025,176,1849,7.315837097659756e-14,8.393649780540162e-12,1.557087792036782e-12,1.6103676074220576e-15,3.839837266596223e-16,1.5128489211698696e-15,1,0.010220472000014524,True,embedded C0-qT sparse Newton
4,32,13,2809,208,2601,3.467211194647814e-14,5.251227405195758e-12,8.189005029635155e-13,7.406225200740658e-16,4.59678406699378e-16,7.158959950286188e-16,1,0.027040710999926887,True,embedded C0-qT sparse Newton
