nx,nz,ntri,dofs,relrmse,mae,linf,residual_rms,time,nfev
6,2,24,645,0.004277352629019972,0.005178929720449652,0.02331887263697552,1.4090371865553757e-05,0.03857740300009027,6
12,4,96,2465,0.002677133185208761,0.0026695285210321684,0.022974617031986444,1.4219963870478612e-06,0.12016224800026976,10
18,6,216,5461,0.0024896682902742686,0.00211735220607029,0.02298851413127001,8.131624828373495e-07,0.28008580800087657,11
24,8,384,9633,0.002449202626277953,0.001873737712352765,0.022986661614441406,5.131826629815313e-07,0.7131863409995276,9
30,10,600,14981,0.0024612004639689546,0.0018557375993485765,0.02298714850098804,2.991361325923365e-07,1.192732233001152,11
36,12,864,21505,0.0024962152251277983,0.001928830906733125,0.022990928438169522,2.288112161353704e-07,1.6099784519992681,10
