n,ntri,p,global_c0_dofs,global_qt_trace_dim,dependent_c0_dofs,global_compression,local_parent_dim,local_triangle_qt_dim,c0_relL2,qt_relL2,L2_ratio,c0_relH1,qt_relH1,H1_ratio,c0_residual_rms,qt_selected_rms,qt_remaining_rms,qt_full_rms,c0_projection_time,qt_setup_time,qt_condensation_time,qt_nfev,qt_success
4,32,3,169,48,121,3.5208333333333335,10,4,0.0001287466751675284,0.0003843280961020318,2.985149679414513,0.004911509747608808,0.008329937661021315,1.6960034875379786,1.2003722046060217e-05,2.394305028959796e-17,1.527216109608518e-05,9.287077217463034e-06,0.0004276449999736087,0.006862484999999197,0.011241576000003306,5,True
4,32,5,441,80,361,5.5125,21,6,1.1064037563058036e-06,3.202115161266811e-06,2.8941651210209423,7.405686842816266e-05,0.00013134833849307834,1.7736145381368655,5.696217128058198e-08,3.0051306249255385e-15,3.318250303028279e-08,1.6521976675982187e-08,0.0027706770000008873,0.0545121050000148,0.035974479999993036,3,True
4,32,7,841,112,729,7.508928571428571,36,8,5.683835121052587e-09,1.7580491691099327e-08,3.0930685561201856,5.737003968770212e-07,1.0052557002491301e-06,1.7522311396703067,1.9803050087114313e-10,4.4583927614675406e-15,3.704922604345336e-11,1.5994968328885735e-11,0.0043518299999902865,0.18056048399998303,0.0444088899999997,2,True
4,32,9,1369,144,1225,9.506944444444445,55,10,1.9152565216224544e-11,5.577899671109664e-11,2.9123512219577288,2.670453698897593e-09,4.2362320717733105e-09,1.5863342148647237,5.007243489764507e-13,4.766398317429256e-19,3.3194686386004747e-14,1.2826452408426904e-14,0.013912773000015477,0.357085914999999,0.03627771699999016,2,True
4,32,11,2025,176,1849,11.505681818181818,78,12,4.331974106780151e-13,1.5073915998535306e-13,0.3479687465107998,8.084423984292503e-11,1.3319431610025552e-11,0.1647542439127923,8.866342594485455e-15,3.2148936562739324e-19,1.9853490134623623e-17,7.01241680477209e-18,0.04408076999999366,0.8382519060000106,0.12680794799999262,2,True
4,32,13,2809,208,2601,13.504807692307692,105,14,1.7266470286717528e-12,8.252355065378861e-13,0.4779410573408915,4.420047795808315e-10,1.1035722897747403e-10,0.24967428877608433,3.2756681635047804e-14,2.2786188182060057e-19,2.7391352507058314e-17,8.954134741956037e-18,0.05465162500001952,2.1556780080000237,0.16851169000000255,2,True
