nx,nz,ntri,dofs,relrmse,mae,linf,residual_rms,time,nfev,p,selector_relrmse
6,2,24,341,0.05797611613411363,0.05550278098045899,0.24167012836674973,6.247307990186187e-05,0.0249868159990001,6,5,0.07495474140591049
12,4,96,1281,0.05641011490482636,0.052793052131751624,0.24861799160896392,3.406277279518182e-05,0.07315765100065619,11,5,0.07495474140591049
18,6,216,2821,0.054672805273260336,0.05068142156738013,0.24280504939872327,1.1338066692185571e-05,0.1433773589997145,11,5,0.07495474140591049
24,8,384,4961,0.05332112808574874,0.04924927388806687,0.232924809589389,6.830290728534547e-06,0.23446225999941817,12,5,0.07495474140591049
30,10,600,7701,0.0518127783839356,0.04800723743820487,0.22239555618815943,5.2228010882387954e-06,0.35437084200020763,12,5,0.07495474140591049
36,12,864,11041,0.051054123309360634,0.04738605620788504,0.21860539437478854,4.3831748869400376e-06,0.7803406260009069,14,5,0.07495474140591049
