n,ntri,p,global_c0_dofs,global_qt_trace_dim,dependent_c0_dofs,global_compression,local_parent_dim,local_triangle_qt_dim,c0_relL2,qt_relL2,L2_ratio,c0_relH1,qt_relH1,H1_ratio,c0_residual_rms,qt_selected_rms,qt_remaining_rms,qt_full_rms,c0_projection_time,qt_setup_time,qt_condensation_time,qt_nfev,qt_success
2,8,7,225,56,169,4.017857142857143,36,8,1.4059786975003717e-06,2.538252330480567e-06,1.805327730066761,5.748396046352516e-05,7.684360204066101e-05,1.336783363933666,4.711233394103431e-08,6.952896617891615e-19,1.2851852853548466e-08,6.3682936354469496e-09,0.000617099999999482,0.010741790999986733,0.015369285999980775,4,True
3,18,7,484,84,400,5.761904761904762,36,8,5.617745252155343e-08,1.348964829040115e-07,2.4012566759280545,4.186507937326381e-06,6.13473749074033e-06,1.4653590970278063,2.629209463087004e-09,4.781684131630543e-18,5.735660131786943e-10,2.605462402721834e-10,0.002671265999993011,0.11669654799999307,0.020330955000019912,3,True
4,32,7,841,112,729,7.508928571428571,36,8,5.683835121052587e-09,1.7580491691099327e-08,3.0930685561201856,5.737003968770212e-07,1.0052557002491301e-06,1.7522311396703067,1.9803050087114313e-10,4.4583927614675406e-15,3.704922604345336e-11,1.5994968328885735e-11,0.021810012999992523,0.18554210800002124,0.016939863000004607,2,True
5,50,7,1296,140,1156,9.257142857142858,36,8,9.540841169660333e-10,2.6790817381398657e-09,2.8080141892093198,1.2077351484720651e-07,1.8652660261401336e-07,1.544433006276191,2.604729943027237e-11,8.367288569031179e-17,4.553459660895045e-12,1.9009574203622735e-12,0.006952388999991399,0.33518225200000984,0.051392074000006005,2,True
6,72,7,1849,168,1681,11.005952380952381,36,8,2.216332184203704e-10,6.137864352460948e-10,2.7693792456775577,3.3652896057257366e-08,5.4305122139400296e-08,1.613683471609844,5.1720285552489785e-12,4.793053646303089e-18,1.0619102742926295e-12,4.3287744981739035e-13,0.013740702000006877,0.5684371419999934,0.045429770999987795,2,True
7,98,7,2500,196,2304,12.755102040816327,36,8,6.449203726646466e-11,3.2539268770596133e-10,5.0454707510870165,1.1410116829456186e-08,3.5233686761144186e-08,3.087933917572643,1.2816502431936124e-12,2.597014166054179e-18,3.3259961106233944e-13,1.3318521674717756e-13,0.020949346999998397,1.3873050159999991,0.0779807000000119,2,True
