n,ntri,p,full_c0_dofs,retained_trace_dim,dependent_dofs,relL2,relH1,absLinf,selected_rms,remaining_rms,full_residual_rms,nfev,seconds,success,solver
3,18,3,100,36,64,0.000139269202290992,0.0026018126252676447,0.0003922556300360869,2.7092122831186307e-18,5.048453095662129e-06,3.2223505640155495e-06,4,0.0027445360000228902,True,embedded C0-qT sparse Newton
3,18,5,256,60,196,1.122155978918709e-06,3.3051547715960876e-05,3.65381953504329e-06,5.6182647796377125e-18,1.0529228007419755e-08,5.512270332827251e-09,3,0.003921579999996538,True,embedded C0-qT sparse Newton
3,18,7,484,84,400,5.774858546614533e-09,2.5121916727356696e-07,2.7511820377412732e-08,1.4479160634858586e-16,1.2056978962367272e-11,5.476964231453029e-12,2,0.005671978000009403,True,embedded C0-qT sparse Newton
3,18,9,784,108,676,2.1039743429324855e-11,1.248549306007656e-09,1.6382228906763885e-10,3.1803639649391293e-19,8.936248094534057e-15,3.634671022748467e-15,2,0.015389171000038004,True,embedded C0-qT sparse Newton
3,18,11,1156,132,1024,5.534907816680693e-14,3.763162367671118e-12,2.807754029277021e-13,2.3404545458119183e-19,5.986099432279637e-18,2.2347062155154853e-18,2,0.023586624000017764,True,embedded C0-qT sparse Newton
3,18,13,1600,156,1444,1.318898907077792e-12,1.0905013440550316e-10,6.5677463467750385e-12,1.842160032218445e-19,3.6042648244078024e-17,1.2405173072353124e-17,2,0.0711664870000277,True,embedded C0-qT sparse Newton
