n,ntri,p,full_c0_dofs,retained_trace_dim,dependent_dofs,relL2,relH1,absLinf,selected_rms,remaining_rms,full_residual_rms,nfev,seconds,success,solver
2,8,5,121,40,81,2.2182430182949138e-06,4.050136513635898e-05,5.3187132733611975e-06,1.1107118944527982e-17,3.203904975256924e-08,1.8265068585704033e-08,3,0.002370371999973031,True,embedded C0-qT sparse Newton
3,18,5,256,60,196,1.122155978918709e-06,3.3051547715960876e-05,3.65381953504329e-06,5.6182647796377125e-18,1.0529228007419755e-08,5.512270332827251e-09,3,0.003907448000063596,True,embedded C0-qT sparse Newton
4,32,5,441,80,361,3.0511515674301495e-07,1.1905609214026586e-05,1.0315995423448854e-06,7.237964608874912e-19,2.082179900647757e-09,1.036743000439275e-09,3,0.006661248999989766,True,embedded C0-qT sparse Newton
5,50,5,676,100,576,1.0234764043990986e-07,4.68296189843441e-06,5.139628295180998e-07,4.886519681823313e-19,4.690080880267942e-10,2.259042100077274e-10,3,0.011825510999983635,True,embedded C0-qT sparse Newton
6,72,5,961,120,841,4.121724515137827e-08,2.259702553566675e-06,1.8860338746318206e-07,5.2665895284214155e-15,1.6384525705546368e-10,7.707631582089569e-11,2,0.010786355000050207,True,embedded C0-qT sparse Newton
7,98,5,1296,140,1156,1.8852398773890987e-08,1.183642862250555e-06,8.486333880064478e-08,1.0901123560670632e-15,6.280924071120013e-11,2.9028841241844778e-11,2,0.01709180800003196,True,embedded C0-qT sparse Newton
