n,ntri,p,global_c0_dofs,free_c0_dofs,local_c0_dim,local_qt_dim,local_compression,c0_relL2,qt_relL2,L2_ratio,c0_relH1,qt_relH1,H1_ratio,c0_residual,qt_residual,residual_ratio,c0_projection_time,qt_correction_time,qt_nfev
2,8,7,225,169,36,8,4.5,1.4059786975003717e-06,2.107621316669115e-06,1.4990421408348245,5.748396046352516e-05,6.376045755322766e-05,1.1091869286509073,4.711233394103431e-08,2.719245454863174e-09,0.057718334614170794,0.0005288689990265993,0.3690949720003118,9
3,18,7,484,400,36,8,4.5,5.617745252155343e-08,1.1383414640504554e-07,2.026331584924951,4.186507937326381e-06,4.973345802944622e-06,1.187946106253112,2.629209463087004e-09,9.442573314705825e-11,0.03591411581038174,0.0021112690010340884,0.8128327850008645,11
4,32,7,841,729,36,8,4.5,5.683835121052587e-09,1.0233302369463063e-08,1.800422100838133,5.737003968770212e-07,5.707950433857799e-07,0.9949357652407829,1.9803050087114313e-10,6.279852065167085e-12,0.0317115395736606,0.004037336000692449,0.5416630910003732,7
5,50,7,1296,1156,36,8,4.5,9.540841169660333e-10,1.5736364729185082e-09,1.6493686929016678,1.2077351484720651e-07,1.0755130448634567e-07,0.8905206130864984,2.604729943027237e-11,8.284478461243435e-13,0.03180551781738705,0.007001330999628408,0.2713166869998531,3
6,72,7,1849,1681,36,8,4.5,2.216332184203704e-10,3.2097992776594136e-10,1.4482482817947473,3.3652896057257366e-08,2.827071403168814e-08,0.8400677904091247,5.1720285552489785e-12,1.9260755733533657e-13,0.03724023471213502,0.015403684999910183,0.1874442820007971,2
7,98,7,2500,2304,36,8,4.5,6.449203726646466e-11,9.620069968900243e-11,1.491667867329507,1.1410116829456186e-08,9.97942592209296e-09,0.8746120720105357,1.2816502431936124e-12,4.7133875226765994e-14,0.03677592656582964,0.021296126000379445,0.24171321899848408,2
