n,ntri,p,full_c0_dofs,retained_trace_dim,dependent_dofs,relL2,relH1,absLinf,selected_rms,remaining_rms,full_residual_rms,nfev,seconds,success,solver
2,8,3,49,24,25,7.074675187417804e-16,1.166341724435459e-14,2.55351295663786e-15,1.2791244018989519e-16,6.664189660009327e-17,1.031974325100376e-16,1,0.00019671600000492617,True,embedded C0-qT sparse Newton
2,8,5,121,40,81,2.7085186050678708e-15,8.563569121340557e-14,1.1102230246251565e-14,1.8944008020157776e-16,1.2030140026562615e-16,1.70081248041883e-16,1,0.0003649099999165628,True,embedded C0-qT sparse Newton
2,8,7,225,56,169,1.2723308434229256e-14,6.124528510835369e-13,6.461498003318411e-14,5.163104882537804e-16,2.7948148506847937e-16,4.693625828429323e-16,1,0.000699834999977611,True,embedded C0-qT sparse Newton
2,8,9,361,72,289,6.228922150297285e-14,4.485130033805395e-12,3.4217073618947325e-13,2.2391939943703526e-15,1.4380054742611478e-15,2.1054565867730492e-15,1,0.0014550729999882606,True,embedded C0-qT sparse Newton
2,8,11,529,88,441,3.2159116158103905e-13,3.217175189386642e-11,2.1719293030741937e-12,7.603928458411272e-15,4.9774193888325265e-15,7.237044233369359e-15,1,0.002688511999963339,True,embedded C0-qT sparse Newton
2,8,13,729,104,625,2.0379056067368453e-12,1.2440239507638403e-10,1.3060108550178029e-11,2.88940114315e-19,8.709091229482095e-17,3.275972635623542e-17,2,0.026096517000041786,True,embedded C0-qT sparse Newton
